# Japanese JLPT sample wordlist (auto-generated)
昨日	N5
きのう	N5
明日	N5
あした	N5
今朝	N4
けさ	N4
今晩	N4
こんばん	N4
週末	N4
しゅうまつ	N4
先週	N4
せんしゅう	N4
来週	N4
らいしゅう	N4
去年	N4
きょねん	N4
今年	N5
ことし	N5
来年	N5
らいねん	N5
朝	N5
あさ	N5
昼	N5
ひる	N5
夜	N5
よる	N5
午前	N4
ごぜん	N4
午後	N4
ごご	N4
天気	N5
てんき	N5
雨	N5
あめ	N5
雪	N5
ゆき	N5
風	N5
かぜ	N5
空	N4
そら	N4
月	N5
つき	N5
太陽	N4
たいよう	N4
星	N4
ほし	N4
海	N4
うみ	N4
山	N5
やま	N5
川	N5
かわ	N5
森	N4
もり	N4
木	N5
き	N5
花	N5
はな	N5
犬	N5
いぬ	N5
猫	N5
ねこ	N5
鳥	N4
とり	N4
色	N4
いろ	N4
赤	N4
あか	N4
青	N4
あお	N4
白	N4
しろ	N4
黒	N4
くろ	N4
新し	N5
あたらし	N5
古い	N5
ふるい	N5
高い	N5
たかい	N5
安い	N5
やすい	N5
大きい	N5
おおきい	N5
小さい	N5
ちいさい	N5
長い	N5
ながい	N5
短い	N5
みじかい	N5
良い	N5
よい	N5
悪い	N5
わるい	N5
速い	N5
はやい	N5
遅い	N5
おそい	N5
暑い	N5
あつい	N5
寒い	N5
さむい	N5
暖かい	N4
あたたかい	N4
涼しい	N4
すずしい	N4
難しい	N5
むずかしい	N5
易しい	N4
やさしい	N4
面白い	N5
おもしろい	N5
楽しい	N5
たのしい	N5
忙しい	N5
いそがしい	N5
静か	N4
しずか	N4
賑やか	N4
にぎやか	N4
綺麗	N4
きれい	N4
美しい	N4
うつくしい	N4
元気	N5
げんき	N5
大丈夫	N5
だいじょうぶ	N5
上手	N4
じょうず	N4
下手	N4
へた	N4
好き	N5
すき	N5
嫌い	N4
きらい	N4
行く	N5
いく	N5
来る	N5
くる	N5
帰る	N5
かえる	N5
食べる	N5
たべる	N5
飲む	N5
のむ	N5
見る	N5
みる	N5
聞く	N5
きく	N5
話す	N5
はなす	N5
読む	N5
よむ	N5
書く	N5
かく	N5
買う	N5
かう	N5
売る	N5
うる	N5
使う	N5
つかう	N5
作る	N5
つくる	N5
分かる	N5
わかる	N5
知る	N4
しる	N4
思う	N4
おもう	N4
言う	N5
いう	N5
待つ	N4
まつ	N4
歩く	N5
あるく	N5
走る	N4
はしる	N4
泳ぐ	N5
およぐ	N5
飛ぶ	N4
とぶ	N4
入る	N5
はいる	N5
出る	N5
でる	N5
起きる	N5
おきる	N5
寝る	N5
ねる	N5
座る	N5
すわる	N5
立つ	N4
たつ	N4
開ける	N5
あける	N5
閉める	N5
しめる	N5
洗う	N4
あらう	N4
掃除	N4
そうじ	N4
勉強	N5
べんきょう	N5
仕事	N5
しごと	N5
働く	N4
はたらく	N4
遊ぶ	N5
あそぶ	N5
旅行	N4
りょこう	N4
買い物	N4
かいもの	N4
生活	N4
せいかつ	N4
毎日	N5
まいにち	N5
いつも	N5
いつも	N5
よく	N5
よく	N5
少し	N5
すこし	N5
たくさん	N5
たくさん	N5
全部	N4
ぜんぶ	N4
何	N5
なに	N5
誰	N5
だれ	N5
どこ	N5
どこ	N5
いつ	N5
いつ	N5
なぜ	N4
なぜ	N4
どう	N5
どう	N5
とても	N5
とても	N5
少しずつ	N4
すこしずつ	N4
もちろん	N4
もちろん	N4
確か	N4
たしか	N4
多分	N5
たぶん	N5
本当	N4
ほんとう	N4
一番	N4
いちばん	N4
最初	N4
さいしょ	N4
最後	N4
さいご	N4
今	N5
いま	N5
もう	N5
もう	N5
まだ	N5
まだ	N5
すぐ	N5
すぐ	N5
後で	N4
あとで	N4
前	N5
まえ	N5
後	N4
うしろ	N4
中	N5
なか	N5
外	N4
そと	N4
上	N5
うえ	N5
下	N5
した	N5
右	N5
みぎ	N5
左	N5
ひだり	N5
隣	N4
となり	N4
近く	N4
ちかく	N4
遠い	N4
とおい	N4
一日	N4
いちにち	N4
一年	N4
いちねん	N4
気	N4
き	N4
心	N4
こころ	N4
手	N5
て	N5
足	N5
あし	N5
頭	N5
あたま	N5
目	N5
め	N5
耳	N4
みみ	N4
口	N5
くち	N5
鼻	N4
はな	N4
顔	N5
かお	N5
髪	N4
かみ	N4
体	N4
からだ	N4
声	N4
こえ	N4
気持ち	N4
きもち	N4
大切	N4
たいせつ	N4
必要	N4
ひつよう	N4
自由	N4
じゆう	N4
問題	N4
もんだい	N4
質問	N4
しつもん	N4
答え	N4
こたえ	N4
理由	N4
りゆう	N4
結果	N4
けっか	N4
意味	N4
いみ	N4
経験	N4
けいけん	N4
説明	N4
せつめい	N4
案内	N4
あんない	N4
招待	N4
しょうたい	N4
連絡	N4
れんらく	N4
相談	N4
そうだん	N4
約束	N4
やくそく	N4
準備	N4
じゅんび	N4
予定	N4
よてい	N4
都合	N4
つごう	N4
事情	N4
じじょう	N4
本当に	N4
ほんとうに	N4
結構	N4
けっこう	N4
十分	N4
じゅうぶん	N4
一緒	N4
いっしょ	N4
自分	N4
じぶん	N4
皆さん	N5
みなさん	N5
特別	N4
とくべつ	N4
普通	N4
ふつう	N4
簡単	N4
かんたん	N4
複雑	N4
ふくざつ	N4
完全	N4
かんぜん	N4
正確	N4
せいかく	N4
安全	N4
あんぜん	N4
危険	N4
きけん	N4
安心	N4
あんしん	N4
心配	N4
しんぱい	N4
幸せ	N4
しあわせ	N4
苦労	N4
くろう	N4
頑張る	N4
がんばる	N4
変わる	N4
かわる	N4
決める	N4
きめる	N4
始める	N4
はじめる	N4
終わる	N4
おわる	N4
続ける	N4
つづける	N4
届く	N4
とどく	N4
間に合う	N4
まにあう	N4
困る	N4
こまる	N4
手伝う	N4
てつだう	N4
運転	N4
うんてん	N4
急ぐ	N4
いそぐ	N4
暮らす	N4
くらす	N4
紹介	N4
しょうかい	N4
教える	N5
おしえる	N5
習う	N4
ならう	N4
覚える	N4
おぼえる	N4
忘れる	N4
わすれる	N4
休む	N5
やすむ	N5
病気	N4
びょうき	N4
怪我	N4
けが	N4
痛い	N4
いたい	N4
熱	N4
ねつ	N4
薬	N4
くすり	N4
病院	N5
びょういん	N5
病院へ行く	N4
びょういんへいく	N4
夢	N4
ゆめ	N4
思い出	N4
おもいで	N4
記憶	N4
きおく	N4
希望	N4
きぼう	N4
目標	N4
もくひょう	N4
成功	N4
せいこう	N4
失敗	N4
しっぱい	N4
努力	N4
どりょく	N4
訓練	N4
くんれん	N4
教訓	N4
きょうくん	N4
